ReactionID,Reaction,UniprotID,EC,ReactionRule
HMR_2469,"-1.0 12,13-hydroxyoctadec-9(z)-enoate + -1.0 UDP-glucuronate <--> 1.0 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate + 1.0 H+ + 1.0 UDP","['UD3A2_HUMAN', 'UD2A1_HUMAN', 'UD17_HUMAN', 'UD18_HUMAN', 'UD2B7_HUMAN', 'UD2A3_HUMAN', 'UD15_HUMAN', 'UDB17_HUMAN', 'UD2B4_HUMAN', 'UD14_HUMAN', 'UDB10_HUMAN', 'UD11_HUMAN', 'UD13_HUMAN', 'UDB28_HUMAN', 'UDB11_HUMAN', 'UD16_HUMAN', 'UD110_HUMAN', 'UD19_HUMAN', 'UD3A1_HUMAN', 'UDB15_HUMAN']",2.4.1.17,P36537 or Q6UWM9 or Q9BY64 or Q6NUS8 or P06133 or P19224 or Q3SY77 or P16662 or P0DTE4 or P54855 or O or O75310 or P35504 or O60656 or P22309 or Q9HAW9 or Q9HAW8 or P35503 or Q9HAW7 or P22310
HMR_2470,"-1.0 12,13-hydroxyoctadec-9(z)-enoate + -1.0 UDP-glucuronate --> 1.0 12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate + 1.0 H+ + 1.0 UDP","['UD3A2_HUMAN', 'UD2A1_HUMAN', 'UD17_HUMAN', 'UD18_HUMAN', 'UD2B7_HUMAN', 'UD2A3_HUMAN', 'UD15_HUMAN', 'UDB17_HUMAN', 'UD2B4_HUMAN', 'UD14_HUMAN', 'UDB10_HUMAN', 'UD11_HUMAN', 'UD13_HUMAN', 'UDB28_HUMAN', 'UDB11_HUMAN', 'UD16_HUMAN', 'UD110_HUMAN', 'UD19_HUMAN', 'UD3A1_HUMAN', 'UDB15_HUMAN']",2.4.1.17,P36537 or Q6UWM9 or Q9BY64 or Q6NUS8 or P06133 or P19224 or Q3SY77 or P16662 or P0DTE4 or P54855 or O or O75310 or P35504 or O60656 or P22309 or Q9HAW9 or Q9HAW8 or P35503 or Q9HAW7 or P22310
HMR_6397,-1.0 H+ + -1.0 lipoic acid + -1.0 NADH <--> 1.0 dihydrolipoate + 1.0 NAD+,['DLDH_HUMAN'],1.8.1.4,P09622
HMR_6398,-1.0 ATP + -1.0 H+ + -1.0 lipoic acid --> 1.0 lipoyl-AMP + 1.0 PPi,['LIPT_HUMAN'],2.7.7.63,Q9Y234
HMR_6399,-1.0 apoA1 + -1.0 lipoyl-AMP --> 1.0 [protein]-N6-(lipoyl)lysine + 1.0 AMP + 1.0 H+,['LIPT_HUMAN'],2.7.7.63,Q9Y234
HMR_6400,-5.0 H+ + -7.0 NADPH + -1.0 octanoyl-[ACP] + -2.0 PAPS + -2.0 SAM --> 2.0 5-deoxyadenosine + 6.0 H2O + 1.0 lipoyl-[ACP] + 2.0 methionine + 7.0 NADP+ + 2.0 PAP,"['LIAS_HUMAN', 'LIPT2_HUMAN']","['2.8.1.8', '2.3.1.181']",O43766 or A
HMR_6401,-1.0 apoA1 + -1.0 lipoyl-[ACP] --> 1.0 [ACP] + 1.0 [protein]-N6-(lipoyl)lysine,['LIPT2_HUMAN'],2.3.1.181,A
HMR_6402,-1.0 apoA1 + -1.0 octanoyl-[ACP] --> 1.0 [ACP] + 1.0 [protein]-N6-(octanoyl)lysine,['LIPT2_HUMAN'],2.3.1.181,A
HMR_6403,-1.0 [protein]-N6-(octanoyl)lysine + -5.0 H+ + -7.0 NADPH + -2.0 PAPS + -2.0 SAM --> 1.0 [protein]-N6-(lipoyl)lysine + 2.0 5-deoxyadenosine + 6.0 H2O + 2.0 methionine + 7.0 NADP+ + 2.0 PAP,['LIAS_HUMAN'],2.8.1.8,O43766
HMR_6404,-1.0 [protein]-N6-(lipoyl)lysine + -1.0 H+ + -1.0 NADH <--> 1.0 [protein]-N6-(dihydrolipoyl)lysine + 1.0 NAD+,['DLDH_HUMAN'],1.8.1.4,P09622
HMR_2472,"-1.0 H+ + -1.0 linolenoyl-CoA + -1.0 NADPH + -1.0 O2 --> 1.0 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA + 2.0 H2O + 1.0 NADP+","['FADS1_HUMAN', 'FADS2_HUMAN', 'FADS3_HUMAN']",1.14.19.-,O95864 or O60427 or Q9Y5Q0
HMR_2475,"-1.0 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2478,"-1.0 3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2480,"-1.0 3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA --> 1.0 eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA + 1.0 H2O","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2482,"-1.0 eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2484,"-1.0 (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA + -1.0 H+ + -1.0 NADPH + -1.0 O2 --> 1.0 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA + 2.0 H2O + 1.0 NADP+","['FADS1_HUMAN', 'FADS2_HUMAN', 'FADS3_HUMAN']",1.14.19.-,O95864 or O60427 or Q9Y5Q0
HMR_2486,"-1.0 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2489,"-1.0 3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2491,"-1.0 3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA --> 1.0 2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA + 1.0 H2O","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2493,"-1.0 2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2495,"-1.0 (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + -1.0 H+ + -1.0 NADPH + -1.0 O2 --> 1.0 (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + 2.0 H2O + 1.0 NADP+",[],NA,
HMR_2497,"-1.0 (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2499,"-1.0 3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2501,"-1.0 3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA --> 1.0 2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA + 1.0 H2O","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2503,"-1.0 2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2505,"-1.0 (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA + -1.0 H+ + -1.0 NADH + -1.0 O2 --> 1.0 (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + 2.0 H2O + 1.0 NAD+","['FADS1_HUMAN', 'FADS2_HUMAN', 'FADS3_HUMAN']",1.14.19.3,O95864 or O60427 or Q9Y5Q0
HMR_2510,"-1.0 (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + -1.0 O2 --> 1.0 delta2-THA-CoA + 1.0 H2O2","['ACOX3_HUMAN', 'ACOX1_HUMAN']",1.3.3.6,O15254 or Q15067
HMR_2511,-1.0 delta2-THA-CoA + -1.0 H2O --> 1.0 3-hydroxy-THA-CoA,"['ECI2_HUMAN', 'ECHA_HUMAN', 'ECHP_HUMAN', 'ECI1_HUMAN']",4.2.1.17,P40939 and Q08426 and P42126 and O75521
HMR_2512,-1.0 3-hydroxy-THA-CoA + -1.0 NAD+ --> 1.0 3-keto-THA-CoA + 1.0 H+ + 1.0 NADH,"['DHB4_HUMAN', 'ECHP_HUMAN', 'THIK_HUMAN']","['1.1.1.35', '1.1.1.211']",P09110 and Q08426 and P51659
HMR_2513,"-1.0 3-keto-THA-CoA + -1.0 CoA --> 1.0 (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + 1.0 acetyl-CoA","['MYO5B_HUMAN', 'THIK_HUMAN']",2.3.1.16,P09110 and Q9ULV0
HMR_2514," <--> 1.0 (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",[],NA,
HMR_2515,"-1.0 (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2516,"-1.0 3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2518,"-1.0 3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA --> 1.0 H2O + 1.0 trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2520,"-1.0 H+ + -1.0 NADPH + -1.0 trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA --> 1.0 10,13,16,19-docosatetraenoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2522,"-1.0 10,13,16,19-docosatetraenoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2524,"-1.0 3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2526,"-1.0 3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA --> 1.0 H2O + 1.0 trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2528,"-1.0 H+ + -1.0 NADPH + -1.0 trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA --> 1.0 12,15,18,21-tetracosatetraenoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2530,"-1.0 H+ + -1.0 linolenoyl-CoA + -1.0 malonyl-CoA --> 1.0 3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2533,"-1.0 3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 (3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2535,"-1.0 (3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA --> 1.0 H2O + 1.0 trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2537,"-1.0 H+ + -1.0 NADPH + -1.0 trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA --> 1.0 (11Z,14Z,17Z)-eicosatrienoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2540,"-1.0 (11Z,14Z,17Z)-eicosatrienoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA + 1.0 CO2 + 1.0 CoA","['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2541,"-1.0 3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-docosa-13,16,19-all-cis-trienoyl-CoA + 1.0 NADP+",['DHB12_HUMAN'],1.1.1.330,Q53GQ0
HMR_2542,"-1.0 3(S)-hydroxy-docosa-13,16,19-all-cis-trienoyl-CoA --> 1.0 H2O + 1.0 trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA","['HACD3_HUMAN', 'HACD1_HUMAN', 'HIG2A_HUMAN', 'HACD4_HUMAN', 'HACD2_HUMAN']",4.2.1.134,Q9P035 or Q or B0YJ81 or Q5VWC8 or Q
HMR_2543,"-1.0 H+ + -1.0 NADPH + -1.0 trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA --> 1.0 13,16,19-docosatrienoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2544,-1.0 EPA + -1.0 O2 --> 1.0 5(S)-HpEPE,['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2545,-1.0 5(S)-HEPE + -1.0 H2O <--> 1.0 5(S)-HpEPE + 2.0 H+,[],NA,
HMR_2546,-1.0 5(S)-HEPE + -1.0 NADP+ <--> 1.0 5-oxo-EPE + 1.0 H+ + 1.0 NADPH,"['CBR3_HUMAN', 'DHRS4_HUMAN', 'CBR1_HUMAN']",1.1.1.184,Q9BTZ2 or P16152 or O75828
HMR_2548,-1.0 5(S)-HEPE + -1.0 NADP+ <--> 1.0 5-oxo-EPE + 1.0 H+ + 1.0 NADPH,"['CBR3_HUMAN', 'DHRS4_HUMAN', 'CBR1_HUMAN']",1.1.1.184,Q9BTZ2 or P16152 or O75828
HMR_2549,-1.0 5(S)-HpEPE <--> 1.0 H2O + 1.0 leukotriene A5,[],NA,
HMR_2550,"-1.0 H2O + -1.0 leukotriene A5 --> 1.0 5,12-dihydroxy-(6E)-LTB5",[],NA,
HMR_2551,-1.0 H2O + -1.0 leukotriene A5 <--> 1.0 leukotriene B5,['LKHA4_HUMAN'],3.3.2.6,P09960
HMR_2552,-1.0 GSH + -1.0 leukotriene A5 <--> 1.0 leukotriene C5,['LTC4S_HUMAN'],4.4.1.20,Q16873
HMR_2553,-1.0 H+ + -1.0 leukotriene B5 + -1.0 NADPH + -1.0 O2 --> 1.0 20-hydroxy-LTB5 + 1.0 H2O + 1.0 NADP+,"['CP4FN_HUMAN', 'CP4FB_HUMAN', 'CP4F3_HUMAN', 'CP4F8_HUMAN', 'CP4F2_HUMAN']",1.14.13.30,Q9HBI6 or Q6NT55 or P78329 or P or Q08477
HMR_2555,-1.0 H+ + -1.0 leukotriene B5 + -1.0 NADPH + -1.0 O2 --> 1.0 20-hydroxy-LTB5 + 1.0 H2O + 1.0 NADP+,"['CP4FN_HUMAN', 'CP4FB_HUMAN', 'CP4F3_HUMAN', 'CP4F8_HUMAN', 'CP4F2_HUMAN']",1.14.13.30,Q9HBI6 or Q6NT55 or P78329 or P or Q08477
HMR_2556,-1.0 H2O + -1.0 leukotriene C5 <--> 1.0 glutamate + 1.0 leukotriene D5,"['GGTL3_HUMAN', 'GGT1_HUMAN', 'GGT7_HUMAN', 'GGT5_HUMAN', 'GGTL2_HUMAN', 'GGT6_HUMAN', 'GGT2_HUMAN']",2.3.2.2,P36269 or P19440 or Q14390 or Q9UJ14 or P or Q6P531 or B5MD39
HMR_2557,-1.0 EPA + -1.0 O2 --> 1.0 15(R)-HpEPE,"['PGH2_HUMAN', 'PGH1_HUMAN']",1.14.99.1,P35354 or P23219
HMR_2558,-1.0 15(R)-HpEPE --> 1.0 15(S)-HpEPE,[],NA,
HMR_2559,-1.0 15(S)-HEPE + -1.0 H2O <--> 1.0 15(S)-HpEPE + 2.0 H+,[],NA,
HMR_2560,-1.0 15(R)-HEPE + -1.0 H2O <--> 1.0 15(R)-HpEPE + 2.0 H+,[],NA,
HMR_2561,"-1.0 15(R)-HEPE + -1.0 O2 --> 1.0 5(S),6(S)-epoxy-15(R)-HEPE + 1.0 H2O",['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2562,"-1.0 5(S),6(S)-epoxy-15(R)-HEPE + -1.0 H2O --> 1.0 15-epi-lipoxin B5","['HYES_HUMAN', 'HYEP_HUMAN']","['3.3.2.9', '3.3.2.10']",P34913 or P07099
HMR_2563,"-1.0 5(S),6(S)-epoxy-15(R)-HEPE + -1.0 H2O --> 1.0 15-epi-lipoxin A5","['HYES_HUMAN', 'HYEP_HUMAN']","['3.3.2.9', '3.3.2.10']",P34913 or P07099
HMR_2565,-1.0 EPA + -1.0 O2 --> 1.0 5(S)-HpEPE,['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2566,-1.0 EPA + -1.0 O2 --> 1.0 15(R)-HpEPE,"['PGH2_HUMAN', 'PGH1_HUMAN']",1.14.99.1,P35354 or P23219
HMR_2567,-1.0 15(R)-HEPE + -1.0 H2O <--> 1.0 15(R)-HpEPE + 2.0 H+,[],NA,
HMR_2568,"-1.0 15(R)-HEPE + -1.0 O2 --> 1.0 5(S),6(S)-epoxy-15(R)-HEPE + 1.0 H2O",['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2570,-1.0 EPA + -1.0 O2 --> 1.0 15(R)-HpEPE,"['PGH2_HUMAN', 'PGH1_HUMAN']",1.14.99.1,P35354 or P23219
HMR_2571,-1.0 15(R)-HEPE + -1.0 H2O <--> 1.0 15(R)-HpEPE + 2.0 H+,[],NA,
HMR_2572,"-1.0 15(R)-HEPE + -1.0 O2 --> 1.0 5(S),6(S)-epoxy-15(R)-HEPE + 1.0 H2O",['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2573,"-1.0 5(S),6(S)-epoxy-15(R)-HEPE + -1.0 H2O --> 1.0 15-epi-lipoxin A5","['HYES_HUMAN', 'HYEP_HUMAN']","['3.3.2.9', '3.3.2.10']",P34913 or P07099
HMR_2574,"-1.0 5(S),6(S)-epoxy-15(R)-HEPE + -1.0 H2O --> 1.0 15-epi-lipoxin B5","['HYES_HUMAN', 'HYEP_HUMAN']","['3.3.2.9', '3.3.2.10']",P34913 or P07099
HMR_2576,-1.0 EPA + -1.0 O2 --> 1.0 15(R)-HpEPE,"['PGH2_HUMAN', 'PGH1_HUMAN']",1.14.99.1,P35354 or P23219
HMR_2577,-1.0 15(R)-HEPE + -1.0 H2O <--> 1.0 15(R)-HpEPE + 2.0 H+,[],NA,
HMR_2578,"-1.0 15(R)-HEPE + -1.0 O2 --> 1.0 5(S),6(S)-epoxy-15(R)-HEPE + 1.0 H2O",['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2579,"-1.0 5(S),6(S)-epoxy-15(R)-HEPE + -1.0 H2O --> 1.0 15-epi-lipoxin A5","['HYES_HUMAN', 'HYEP_HUMAN']","['3.3.2.9', '3.3.2.10']",P34913 or P07099
HMR_2580,"-1.0 5(S),6(S)-epoxy-15(R)-HEPE + -1.0 H2O --> 1.0 15-epi-lipoxin B5","['HYES_HUMAN', 'HYEP_HUMAN']","['3.3.2.9', '3.3.2.10']",P34913 or P07099
HMR_2581,-1.0 EPA + -1.0 H+ + -1.0 NADPH + -2.0 O2 --> 1.0 H2O + 1.0 NADP+ + 1.0 PGH3,"['TBCB_HUMAN', 'PGH2_HUMAN', 'PGH1_HUMAN']",1.14.99.1,P35354 or P23219 or Q99426
HMR_2582,-1.0 EPA + -1.0 H+ + -1.0 NADPH + -2.0 O2 --> 1.0 H2O + 1.0 NADP+ + 1.0 PGH3,"['TBCB_HUMAN', 'PGH2_HUMAN', 'PGH1_HUMAN']",1.14.99.1,P35354 or P23219 or Q99426
HMR_2583,-1.0 PGH3 <--> 1.0 prostaglandin E3,"['PTGES_HUMAN', 'TEBP_HUMAN', 'PGES2_HUMAN']",5.3.99.3,Q15185 or Q9H7Z7 or O14684
HMR_2584,-1.0 PGH3 <--> 1.0 prostaglandin E3,"['PTGES_HUMAN', 'TEBP_HUMAN', 'PGES2_HUMAN']",5.3.99.3,Q15185 or Q9H7Z7 or O14684
HMR_2586,"-1.0 (18R)-HEPE + -1.0 O2 --> 1.0 5,6-epoxy,(18R)-HEPE + 1.0 H2O",['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2587,"-1.0 5,12,18R-TriHEPE <--> 1.0 5,6-epoxy,(18R)-HEPE + 1.0 H2O",[],NA,
HMR_2588,"-1.0 (18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid + -1.0 O2 <--> 1.0 5,6-epoxy,(18R)-HEPE + 1.0 H2O",['LOX5_HUMAN'],1.13.11.34,P09917
HMR_2368,-1.0 H+ + -1.0 linoleoyl-CoA + -1.0 NADPH + -1.0 O2 --> 1.0 gamma-linolenoyl-CoA + 2.0 H2O + 1.0 NADP+,"['FADS1_HUMAN', 'FADS2_HUMAN', 'FADS3_HUMAN']",1.14.19.3,O95864 or O60427 or Q9Y5Q0
HMR_2371,-1.0 gamma-linolenoyl-CoA + -1.0 H+ + -1.0 malonyl-CoA --> 1.0 3-oxo-dihomo-gamma-linolenoyl-CoA + 1.0 CO2 + 1.0 CoA,"['ELOV6_HUMAN', 'ELOV5_HUMAN', 'ELOV4_HUMAN', 'ELOV3_HUMAN', 'ELOV7_HUMAN', 'ELOV1_HUMAN', 'ELOV2_HUMAN']",2.3.1.199,Q9NYP7 or Q9BW60 or Q9GZR5 or Q9HB03 or A1L3X0 or Q9H5J4 or Q9NXB9
HMR_2374,-1.0 3-oxo-dihomo-gamma-linolenoyl-CoA + -1.0 H+ + -1.0 NADPH --> 1.0 3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA + 1.0 NADP+,[],NA,
HMR_2376,"-1.0 3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA --> 1.0 H2O + 1.0 trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",[],NA,
HMR_2378,"-1.0 H+ + -1.0 NADPH + -1.0 trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA --> 1.0 dihomo-gamma-linolenoyl-CoA + 1.0 NADP+","['TECRL_HUMAN', 'TECR_HUMAN']",1.3.1.93,Q9NZ01 or Q
HMR_2380,-1.0 dihomo-gamma-linolenoyl-CoA + -1.0 H+ + -1.0 NADPH + -1.0 O2 --> 1.0 arachidonyl-CoA + 2.0 H2O + 1.0 NADP+,"['FADS1_HUMAN', 'FADS2_HUMAN', 'FADS3_HUMAN']",1.14.19.-,O95864 or O60427 or Q9Y5Q0
